,precision,recall,f1-score,support
0,0.9151943462897526,0.9893887945670629,0.9508464205588415,2356.0
1,0.96513470681458,0.9878345498783455,0.9763527054108216,2466.0
2,0.8944444444444445,0.8746343501880485,0.8844284808789351,2393.0
3,0.6254489481785531,0.5074937552039966,0.5603309584003676,2402.0
4,0.6016581129095934,0.6463104325699746,0.6231854426497649,2358.0
5,0.9354037267080745,0.9682811830261466,0.951558550968829,2333.0
accuracy,0.8290466871680179,0.8290466871680179,0.8290466871680179,0.8290466871680179
macro avg,0.8228807142241662,0.8289905109055957,0.8244504264779265,14308.0
weighted avg,0.8233128823451643,0.8290466871680179,0.8246917548489737,14308.0
