,precision,recall,f1-score,support
0,0.9595835884874464,0.9775421085464754,0.9684796044499382,1603.0
1,0.9836683417085427,0.9769182782283219,0.980281690140845,1603.0
2,0.8763513513513513,0.8471587197909863,0.8615078047160412,1531.0
3,0.6001339584728734,0.5517241379310345,0.5749117741418031,1624.0
4,0.6163055872291904,0.6705955334987593,0.6423054070112894,1612.0
5,0.943289224952741,0.9559386973180076,0.9495718363463368,1566.0
accuracy,0.8285983855750079,0.8285983855750079,0.8285983855750079,0.8285983855750079
macro avg,0.8298886753670242,0.8299795792189308,0.8295096861343755,9539.0
weighted avg,0.8283908003430636,0.8285983855750079,0.828065346186826,9539.0
